t,accX,accY,accZ
0,-0.5199300000000001,-2.5505999999999998,-9.46665
0,-0.4905,-2.54079,-9.476460000000001
1,-0.4905,-2.54079,-9.476460000000001
2,-0.50031,-2.52117,-9.46665
3,-0.50031,-2.52117,-9.46665
4,-0.50031,-2.52117,-9.46665
5,-0.51012,-2.54079,-9.46665
6,-0.51012,-2.54079,-9.46665
7,-0.4905,-2.54079,-9.476460000000001
8,-0.4905,-2.54079,-9.476460000000001
9,-0.4905,-2.54079,-9.476460000000001
10,-0.51012,-2.53098,-9.45684
11,-0.51012,-2.5505999999999998,-9.496080000000001
12,-0.51012,-2.5505999999999998,-9.496080000000001
13,-0.51012,-2.5505999999999998,-9.496080000000001
14,-0.51012,-2.5505999999999998,-9.496080000000001
15,-0.51012,-2.54079,-9.46665
16,-0.50031,-2.5505999999999998,-9.46665
17,-0.50031,-2.5505999999999998,-9.46665
18,-0.50031,-2.5505999999999998,-9.46665
19,-0.50031,-2.52117,-9.476460000000001
20,-0.50031,-2.52117,-9.476460000000001
21,-0.50031,-2.52117,-9.476460000000001
22,-0.50031,-2.52117,-9.476460000000001
23,-0.50031,-2.54079,-9.476460000000001
24,-0.51012,-2.54079,-9.447030000000002
25,-0.51012,-2.54079,-9.447030000000002
26,-0.51012,-2.54079,-9.447030000000002
27,-0.51012,-2.5505999999999998,-9.45684
28,-0.51012,-2.5505999999999998,-9.45684
29,-0.51012,-2.5505999999999998,-9.45684
30,-0.51012,-2.5505999999999998,-9.45684
31,-0.51012,-2.5505999999999998,-9.45684
32,-0.51012,-2.5505999999999998,-9.45684
33,-0.51012,-2.5505999999999998,-9.45684
34,-0.51012,-2.5505999999999998,-9.45684
35,-0.51012,-2.5505999999999998,-9.45684
36,-0.51012,-2.5505999999999998,-9.437220000000002
37,-0.51012,-2.5505999999999998,-9.437220000000002
38,-0.51012,-2.5505999999999998,-9.437220000000002
39,-0.51012,-2.5505999999999998,-9.437220000000002
40,-0.51012,-2.5505999999999998,-9.437220000000002
41,-0.51012,-2.5505999999999998,-9.437220000000002
42,-0.51012,-2.5505999999999998,-9.437220000000002
43,-0.51012,-2.5505999999999998,-9.437220000000002
44,-0.51012,-2.5505999999999998,-9.437220000000002
45,-0.51012,-2.5505999999999998,-9.437220000000002
46,-0.51012,-2.5505999999999998,-9.437220000000002
47,-0.50031,-2.53098,-9.437220000000002
48,-0.50031,-2.53098,-9.437220000000002
49,-0.50031,-2.53098,-9.437220000000002
50,-0.50031,-2.53098,-9.437220000000002
51,-0.50031,-2.53098,-9.437220000000002
52,-0.50031,-2.53098,-9.437220000000002
53,-0.50031,-2.53098,-9.437220000000002
54,-0.50031,-2.53098,-9.437220000000002
55,-0.50031,-2.53098,-9.437220000000002
56,-0.50031,-2.53098,-9.437220000000002
57,-0.50031,-2.54079,-9.45684
58,-0.50031,-2.54079,-9.45684
59,-0.50031,-2.54079,-9.45684
60,-0.50031,-2.54079,-9.45684
61,-0.50031,-2.54079,-9.45684
62,-0.50031,-2.54079,-9.45684
63,-0.50031,-2.54079,-9.45684
64,-0.50031,-2.54079,-9.45684
65,-0.50031,-2.54079,-9.45684
66,-0.50031,-2.54079,-9.45684
67,-0.50031,-2.54079,-9.45684
68,-0.4905,-2.53098,-9.447030000000002
69,-0.4905,-2.53098,-9.447030000000002
70,-0.4905,-2.53098,-9.447030000000002
71,-0.4905,-2.53098,-9.447030000000002
72,-0.4905,-2.53098,-9.447030000000002
73,-0.4905,-2.53098,-9.447030000000002
74,-0.4905,-2.53098,-9.447030000000002
75,-0.4905,-2.53098,-9.447030000000002
76,-0.4905,-2.53098,-9.447030000000002
77,-0.4905,-2.53098,-9.447030000000002
78,-0.51012,-2.53098,-9.496080000000001
79,-0.51012,-2.53098,-9.496080000000001
80,-0.51012,-2.53098,-9.496080000000001
81,-0.51012,-2.53098,-9.496080000000001
82,-0.51012,-2.53098,-9.496080000000001
83,-0.51012,-2.53098,-9.496080000000001
84,-0.51012,-2.53098,-9.496080000000001
85,-0.51012,-2.53098,-9.496080000000001
86,-0.51012,-2.53098,-9.496080000000001
87,-0.51012,-2.53098,-9.496080000000001
88,-0.50031,-2.5604100000000005,-9.45684
89,-0.50031,-2.5604100000000005,-9.45684
90,-0.50031,-2.5604100000000005,-9.45684
91,-0.50031,-2.5604100000000005,-9.45684
92,-0.50031,-2.5604100000000005,-9.45684
93,-0.50031,-2.5604100000000005,-9.45684
94,-0.50031,-2.5604100000000005,-9.45684
95,-0.50031,-2.5604100000000005,-9.45684
96,-0.50031,-2.5604100000000005,-9.45684
97,-0.50031,-2.5604100000000005,-9.45684
98,-0.51012,-2.54079,-9.476460000000001
99,-0.51012,-2.54079,-9.476460000000001
100,-0.51012,-2.54079,-9.476460000000001
101,-0.51012,-2.54079,-9.476460000000001
102,-0.51012,-2.54079,-9.476460000000001
103,-0.51012,-2.54079,-9.476460000000001
104,-0.51012,-2.54079,-9.476460000000001
105,-0.51012,-2.54079,-9.476460000000001
106,-0.51012,-2.54079,-9.476460000000001
107,-0.51012,-2.54079,-9.476460000000001
108,-0.50031,-2.5505999999999998,-9.46665
109,-0.50031,-2.5505999999999998,-9.46665
110,-0.50031,-2.5505999999999998,-9.46665
111,-0.50031,-2.5505999999999998,-9.46665
112,-0.50031,-2.5505999999999998,-9.46665
113,-0.50031,-2.5505999999999998,-9.46665
114,-0.50031,-2.5505999999999998,-9.46665
115,-0.50031,-2.5505999999999998,-9.46665
116,-0.50031,-2.5505999999999998,-9.46665
117,-0.50031,-2.5505999999999998,-9.46665
118,-0.51012,-2.54079,-9.486270000000001
119,-0.51012,-2.54079,-9.486270000000001
120,-0.51012,-2.54079,-9.486270000000001
121,-0.51012,-2.54079,-9.486270000000001
122,-0.51012,-2.54079,-9.486270000000001
123,-0.51012,-2.54079,-9.486270000000001
124,-0.51012,-2.54079,-9.486270000000001
125,-0.51012,-2.54079,-9.486270000000001
126,-0.51012,-2.54079,-9.486270000000001
127,-0.51012,-2.54079,-9.486270000000001
128,-0.51012,-2.54079,-9.486270000000001
129,-0.51012,-2.54079,-9.486270000000001
130,-0.51012,-2.54079,-9.486270000000001
131,-0.51012,-2.54079,-9.486270000000001
132,-0.51012,-2.54079,-9.486270000000001
133,-0.51012,-2.54079,-9.486270000000001
134,-0.51012,-2.54079,-9.486270000000001
135,-0.51012,-2.54079,-9.486270000000001
136,-0.51012,-2.54079,-9.486270000000001
137,-0.51012,-2.54079,-9.486270000000001
138,-0.51012,-2.54079,-9.486270000000001
139,-0.51012,-2.5505999999999998,-9.45684
140,-0.51012,-2.5505999999999998,-9.45684
141,-0.51012,-2.5505999999999998,-9.45684
142,-0.51012,-2.5505999999999998,-9.45684
143,-0.51012,-2.5505999999999998,-9.45684
144,-0.51012,-2.5505999999999998,-9.45684
145,-0.51012,-2.5505999999999998,-9.45684
146,-0.51012,-2.5505999999999998,-9.45684
147,-0.51012,-2.5505999999999998,-9.45684
148,-0.51012,-2.5505999999999998,-9.45684
149,-0.51012,-2.5505999999999998,-9.45684
150,-0.51012,-2.52117,-9.46665
151,-0.51012,-2.52117,-9.46665
152,-0.51012,-2.52117,-9.46665
153,-0.51012,-2.52117,-9.46665
154,-0.51012,-2.52117,-9.46665
155,-0.51012,-2.52117,-9.46665
156,-0.51012,-2.52117,-9.46665
157,-0.51012,-2.52117,-9.46665
158,-0.51012,-2.52117,-9.46665
159,-0.51012,-2.52117,-9.46665
160,-0.4905,-2.53098,-9.46665
161,-0.4905,-2.53098,-9.46665
162,-0.4905,-2.53098,-9.46665
163,-0.4905,-2.53098,-9.46665
164,-0.4905,-2.53098,-9.46665
165,-0.4905,-2.53098,-9.46665
166,-0.4905,-2.53098,-9.46665
167,-0.4905,-2.53098,-9.46665
168,-0.4905,-2.53098,-9.46665
169,-0.4905,-2.53098,-9.46665
170,-0.4905,-2.53098,-9.46665
171,-0.50031,-2.5505999999999998,-9.46665
172,-0.50031,-2.5505999999999998,-9.46665
173,-0.50031,-2.5505999999999998,-9.46665
174,-0.50031,-2.5505999999999998,-9.46665
175,-0.50031,-2.5505999999999998,-9.46665
176,-0.50031,-2.5505999999999998,-9.46665
177,-0.50031,-2.5505999999999998,-9.46665
178,-0.50031,-2.5505999999999998,-9.46665
179,-0.50031,-2.5505999999999998,-9.46665
180,-0.50031,-2.5505999999999998,-9.476460000000001
181,-0.50031,-2.5505999999999998,-9.476460000000001
182,-0.50031,-2.5505999999999998,-9.476460000000001
183,-0.50031,-2.5505999999999998,-9.476460000000001
184,-0.50031,-2.5505999999999998,-9.476460000000001
185,-0.50031,-2.5505999999999998,-9.476460000000001
186,-0.50031,-2.5505999999999998,-9.476460000000001
187,-0.50031,-2.5505999999999998,-9.476460000000001
188,-0.50031,-2.5505999999999998,-9.476460000000001
189,-0.50031,-2.5505999999999998,-9.476460000000001
190,-0.50031,-2.5505999999999998,-9.476460000000001
191,-0.50031,-2.52117,-9.476460000000001
192,-0.50031,-2.52117,-9.476460000000001
193,-0.50031,-2.52117,-9.476460000000001
194,-0.50031,-2.52117,-9.476460000000001
195,-0.50031,-2.52117,-9.476460000000001
196,-0.50031,-2.52117,-9.476460000000001
197,-0.50031,-2.52117,-9.476460000000001
198,-0.50031,-2.52117,-9.476460000000001
199,-0.50031,-2.52117,-9.476460000000001
200,-0.50031,-2.52117,-9.476460000000001
201,-0.51012,-2.5505999999999998,-9.46665
202,-0.51012,-2.5505999999999998,-9.46665
203,-0.51012,-2.5505999999999998,-9.46665
204,-0.51012,-2.5505999999999998,-9.46665
205,-0.51012,-2.5505999999999998,-9.46665
206,-0.51012,-2.5505999999999998,-9.46665
207,-0.51012,-2.5505999999999998,-9.46665
208,-0.51012,-2.5505999999999998,-9.46665
209,-0.51012,-2.5505999999999998,-9.46665
210,-0.51012,-2.5505999999999998,-9.46665
211,-0.51012,-2.5505999999999998,-9.46665
212,-0.50031,-2.53098,-9.476460000000001
213,-0.50031,-2.53098,-9.476460000000001
214,-0.50031,-2.5604100000000005,-9.486270000000001
215,-0.50031,-2.5604100000000005,-9.486270000000001
216,-0.50031,-2.5505999999999998,-9.447030000000002
217,-0.50031,-2.5505999999999998,-9.447030000000002
218,-0.50031,-2.5505999999999998,-9.447030000000002
219,-0.50031,-2.5505999999999998,-9.447030000000002
220,-0.50031,-2.5505999999999998,-9.447030000000002
221,-0.5199300000000001,-2.5505999999999998,-9.45684
222,-0.5199300000000001,-2.5505999999999998,-9.45684
223,-0.5199300000000001,-2.5505999999999998,-9.45684
224,-0.5199300000000001,-2.5505999999999998,-9.45684
225,-0.5199300000000001,-2.5505999999999998,-9.45684
226,-0.51012,-2.52117,-9.476460000000001
227,-0.51012,-2.52117,-9.476460000000001
228,-0.51012,-2.52117,-9.476460000000001
229,-0.51012,-2.52117,-9.476460000000001
230,-0.51012,-2.52117,-9.476460000000001
231,-0.4905,-2.66832,-9.46665
232,-0.4905,-2.66832,-9.46665
233,-0.4905,-2.66832,-9.46665
234,-0.4905,-2.66832,-9.46665
235,-0.4905,-2.66832,-9.46665
236,-0.51012,-2.5505999999999998,-9.447030000000002
237,-0.51012,-2.5505999999999998,-9.447030000000002
238,-0.51012,-2.5505999999999998,-9.447030000000002
239,-0.51012,-2.5505999999999998,-9.447030000000002
240,-0.51012,-2.5505999999999998,-9.447030000000002
241,-0.51012,-2.52117,-9.476460000000001
242,-0.51012,-2.52117,-9.476460000000001
243,-0.51012,-2.52117,-9.476460000000001
244,-0.51012,-2.52117,-9.476460000000001
245,-0.51012,-2.52117,-9.476460000000001
246,-0.51012,-2.54079,-9.45684
247,-0.51012,-2.54079,-9.45684
248,-0.51012,-2.54079,-9.45684
249,-0.51012,-2.54079,-9.45684
250,-0.51012,-2.54079,-9.45684
251,-0.51012,-2.52117,-9.46665
252,-0.51012,-2.52117,-9.46665
253,-0.51012,-2.52117,-9.46665
254,-0.51012,-2.52117,-9.46665
255,-0.51012,-2.52117,-9.46665
256,-0.50031,-2.54079,-9.476460000000001
257,-0.50031,-2.54079,-9.476460000000001
258,-0.50031,-2.54079,-9.476460000000001
259,-0.50031,-2.54079,-9.476460000000001
260,-0.50031,-2.54079,-9.476460000000001
261,-0.51012,-2.53098,-9.476460000000001
262,-0.51012,-2.53098,-9.476460000000001
263,-0.51012,-2.53098,-9.476460000000001
264,-0.51012,-2.53098,-9.476460000000001
265,-0.51012,-2.53098,-9.476460000000001
266,-0.50031,-2.54079,-9.486270000000001
267,-0.50031,-2.54079,-9.486270000000001
268,-0.50031,-2.54079,-9.486270000000001
269,-0.50031,-2.54079,-9.486270000000001
270,-0.50031,-2.54079,-9.486270000000001
271,-0.5199300000000001,-2.5505999999999998,-9.46665
272,-0.5199300000000001,-2.5505999999999998,-9.46665
273,-0.5199300000000001,-2.5505999999999998,-9.46665
274,-0.5199300000000001,-2.5505999999999998,-9.46665
275,-0.5199300000000001,-2.5505999999999998,-9.46665
276,-0.51012,-2.5505999999999998,-9.476460000000001
277,-0.51012,-2.5505999999999998,-9.476460000000001
278,-0.51012,-2.5505999999999998,-9.476460000000001
279,-0.51012,-2.5505999999999998,-9.476460000000001
280,-0.51012,-2.5505999999999998,-9.476460000000001
281,-0.4905,-2.54079,-9.46665
282,-0.4905,-2.54079,-9.46665
283,-0.4905,-2.54079,-9.46665
284,-0.4905,-2.54079,-9.46665
285,-0.4905,-2.54079,-9.46665
286,-0.51012,-2.5505999999999998,-9.486270000000001
287,-0.51012,-2.5505999999999998,-9.486270000000001
288,-0.51012,-2.5505999999999998,-9.486270000000001
289,-0.51012,-2.5505999999999998,-9.486270000000001
290,-0.51012,-2.5505999999999998,-9.486270000000001
291,-0.50031,-2.53098,-9.46665
292,-0.50031,-2.53098,-9.46665
293,-0.50031,-2.53098,-9.46665
294,-0.50031,-2.53098,-9.46665
295,-0.50031,-2.53098,-9.46665
296,-0.51012,-2.53098,-9.486270000000001
297,-0.51012,-2.53098,-9.486270000000001
298,-0.51012,-2.53098,-9.486270000000001
299,-0.51012,-2.53098,-9.486270000000001
300,-0.51012,-2.53098,-9.486270000000001
301,-0.51012,-2.54079,-9.496080000000001
302,-0.51012,-2.54079,-9.496080000000001
303,-0.51012,-2.54079,-9.496080000000001
304,-0.51012,-2.54079,-9.496080000000001
305,-0.51012,-2.54079,-9.496080000000001
306,-0.50031,-2.5604100000000005,-9.476460000000001
307,-0.50031,-2.5604100000000005,-9.476460000000001
308,-0.50031,-2.5604100000000005,-9.476460000000001
309,-0.50031,-2.5604100000000005,-9.476460000000001
310,-0.50031,-2.5604100000000005,-9.476460000000001
311,-0.51012,-2.5505999999999998,-9.46665
312,-0.51012,-2.5505999999999998,-9.46665
313,-0.4905,-2.54079,-9.45684
314,-0.4905,-2.54079,-9.45684
315,-0.4905,-2.54079,-9.45684
316,-0.50031,-2.54079,-9.476460000000001
317,-0.50031,-2.54079,-9.476460000000001
318,-0.51012,-2.54079,-9.45684
319,-0.51012,-2.54079,-9.45684
320,-0.51012,-2.54079,-9.45684
321,-0.5199300000000001,-2.54079,-9.496080000000001
322,-0.5199300000000001,-2.54079,-9.496080000000001
323,-0.5199300000000001,-2.54079,-9.496080000000001
324,-0.51012,-2.54079,-9.476460000000001
325,-0.4905,-2.54079,-9.45684
326,-0.4905,-2.54079,-9.45684
327,-0.4905,-2.54079,-9.45684
328,-0.51012,-2.54079,-9.46665
329,-0.51012,-2.54079,-9.46665
330,-0.51012,-2.54079,-9.46665
331,-0.5199300000000001,-2.53098,-9.45684
332,-0.5199300000000001,-2.53098,-9.45684
333,-0.4905,-2.5505999999999998,-9.46665
334,-0.4905,-2.5505999999999998,-9.46665
335,-0.50031,-2.53098,-9.46665
336,-0.50031,-2.53098,-9.46665
337,-0.51012,-2.52117,-9.45684
338,-0.51012,-2.52117,-9.45684
339,-0.51012,-2.52117,-9.45684
340,-0.4905,-2.54079,-9.486270000000001
341,-0.4905,-2.54079,-9.486270000000001
342,-0.4905,-2.54079,-9.45684
343,-0.4905,-2.54079,-9.45684
344,-0.4905,-2.54079,-9.45684
345,-0.50031,-2.53098,-9.486270000000001
346,-0.50031,-2.53098,-9.486270000000001
347,-0.51012,-2.54079,-9.46665
348,-0.51012,-2.54079,-9.46665
349,-0.50031,-2.53098,-9.437220000000002
350,-0.50031,-2.53098,-9.437220000000002
351,-0.50031,-2.53098,-9.437220000000002
352,-0.51012,-2.53098,-9.46665
353,-0.51012,-2.53098,-9.46665
354,-0.51012,-2.53098,-9.476460000000001
355,-0.51012,-2.53098,-9.476460000000001
356,-0.51012,-2.53098,-9.476460000000001
357,-0.5199300000000001,-2.54079,-9.486270000000001
358,-0.5199300000000001,-2.54079,-9.486270000000001
359,-0.51012,-2.5505999999999998,-9.476460000000001
360,-0.51012,-2.5505999999999998,-9.476460000000001
361,-0.51012,-2.53098,-9.45684
362,-0.51012,-2.53098,-9.45684
363,-0.51012,-2.53098,-9.45684
364,-0.4905,-2.53098,-9.45684
365,-0.4905,-2.53098,-9.45684
366,-0.51012,-2.54079,-9.486270000000001
367,-0.51012,-2.54079,-9.486270000000001
368,-0.51012,-2.54079,-9.486270000000001
369,-0.51012,-2.52117,-9.46665
370,-0.51012,-2.52117,-9.46665
371,-0.50031,-2.54079,-9.45684
372,-0.50031,-2.54079,-9.45684
373,-0.5199300000000001,-2.54079,-9.486270000000001
374,-0.5199300000000001,-2.54079,-9.486270000000001
375,-0.5199300000000001,-2.54079,-9.486270000000001
376,-0.51012,-2.5505999999999998,-9.486270000000001
377,-0.51012,-2.5505999999999998,-9.486270000000001
378,-0.50031,-2.54079,-9.476460000000001
379,-0.50031,-2.54079,-9.476460000000001
380,-0.50031,-2.54079,-9.476460000000001
