t,accCmpX,accCmpY,accCmpZ
0,4.3614,0.27468,-12.3762
1,6.27715,0.27468,-14.2919
2,8.03056,0.27468,-16.0453
3,9.38184,0.25506,-17.0042
4,10.5043,0.25506,-18.1267
5,11.1931,-0.0981,-19.7768
6,11.7098,-0.0981,-20.2935
7,4.16459,-9.80335,-8.91894
8,-5.29574,0.550752,-16.3846
9,-6.66591,-0.649274,-17.7448
10,1.21306,0.36297,-9.54175
11,12.055,0.36297,-20.3837
12,12.1241,-0.149073,-12.8844
13,12.0309,1.27082,-12.8537
14,11.7077,2.66339,-12.7473
15,-6.53056,0.17658,-0.277577
16,10.4574,0.17658,-17.2655
17,11.3924,0.36297,-18.2692
18,11.9493,0.36297,-18.8261
19,12.2293,0.36297,-19.1061
20,12.1456,2.23379,-10.789
21,11.1563,0.1962,-18.71
22,0.891163,0.15696,-7.41481
23,-7.08537,0.15696,0.561718
24,-2.64451,-0.01962,-3.12377
25,5.40446,-0.01962,-11.1727
26,11.5621,-0.01962,-17.3304
27,11.9689,-0.28449,-19.0518
28,12.249,-0.28449,-19.3318
29,12.4143,-0.28449,-19.4972
30,11.3665,0.20601,-17.5174
31,11.4005,0.30411,-18.4637
32,11.429,0.30411,-18.4922
33,11.4614,0.30411,-18.5246
34,11.436,0.33354,-16.9002
35,4.78856,0.33354,-10.2527
36,1.04371,0.40221,-8.62684
37,-2.56868,0.40221,-5.01445
38,-6.49957,0.4905,0.750915
39,4.7155,0.4905,-10.4642
40,12.3487,0.4905,-18.0974
41,11.7408,0.30411,-17.6563
42,9.94721,0.30411,-15.8626
43,7.26489,0.59841,-13.4354
45,4.19341,0.59841,-10.3639
46,7.50726,0.26487,-14.9432
47,10.1335,0.26487,-17.5694
48,11.853,0.26487,-19.289
49,10.1757,0.20601,-16.7975
50,9.20848,0.03924,-15.1926
51,8.14142,0.03924,-14.1255
52,6.96466,0.03924,-12.9488
53,-1.94052,-0.00981,-2.97429
54,-7.04576,-0.00981,2.13095
55,3.15048,0.26487,-10.6061
56,12.5271,0.26487,-19.9827
57,4.02625,0.26487,-11.4818
58,0.304281,-0.828055,-11.4504
59,-3.04915,8.24407,-8.66414
60,-5.58594,-0.316892,-17.298
61,-6.36523,3.92967,-6.67375
62,-5.53631,-0.05886,-0.830375
63,-4.58095,-0.05886,-1.78574
64,-3.43633,-0.05886,-2.93036
65,-6.63311,0.32373,0.335087
66,-6.57646,0.32373,0.278444
67,-3.25231,0.32373,-3.04571
68,-1.72692,0.47088,-4.62996
69,-0.0467301,0.47088,-6.31015
70,-6.83528,0.60822,-0.276971
71,2.56815,0.60822,-9.6804
72,8.6244,0.15696,-19.4743
73,-6.25767,0.15696,-4.59219
74,-2.01585,0.17658,-4.14483
75,10.6208,0.17658,-16.7815
76,9.02846,0.17658,-15.1891
77,12.027,0,-20.032
78,4.54374,0,-12.5487
79,-5.16642,0,-2.83854
80,-5.31513,0.26487,-4.00437
81,-5.54815,0.26487,-3.77135
82,-4.14974,0.15696,-4.79698
83,-2.4542,0.15696,-6.49252
84,9.69986,0.24525,-16.2922
85,10.6808,0.24525,-17.2732
86,-1.16058,0.24525,-5.43174
87,-4.61426,0.00981,-2.1154
88,-6.7359,0.00981,0.00624169
89,-7.03805,0.00981,0.308386
90,-6.72579,0.37278,0.123664
91,-4.28148,0.37278,-2.32065
