timestamp (ms),GPS_Lon,Cal_Lon
931009.8220214844,35.1411461,35.1411661
931109.8220214844,35.1411804,35.1411834
931209.8220214844,35.1411804,35.1412035
931309.8220214844,35.1412498,35.1412205
931409.8220214844,35.1412498,35.1412407
931509.8220214844,35.1412498,35.1412609
931609.8220214844,35.1412847,35.1412785
931709.8220214844,35.1412847,35.1412987
931809.8220214844,35.1413199,35.1413165
931909.8220214844,35.1413199,35.1413369
932009.8220214844,35.1413199,35.1413573
932109.8220214844,35.1413553,35.1413752
932209.8220214844,35.1413553,35.1413956
932309.8220214844,35.1414262,35.1414134
932409.8220214844,35.1414262,35.1414339
932509.8220214844,35.1414262,35.1414544
932609.8220214844,35.1414619,35.1414725
932709.8220214844,35.1414619,35.141493
932809.8220214844,35.1414977,35.1415112
932909.8220214844,35.1414977,35.1415317
933009.8220214844,35.1414977,35.1415522
933109.8220214844,35.1415335,35.1415703
933209.8220214844,35.1415335,35.1415908
933309.8220214844,35.1416055,35.141609
933409.8220214844,35.1416055,35.1416295
933509.8220214844,35.1416055,35.14165
933609.8220214844,35.1416414,35.1416705
933709.8220214844,35.1416414,35.141691
933809.8220214844,35.1416773,35.1417094
933909.8220214844,35.1416773,35.1417301
934009.8220214844,35.1416773,35.1417508
934109.8220214844,35.1417134,35.1417693
934209.8220214844,35.1417134,35.1417899
934309.8220214844,35.1417856,35.1418086
934409.8220214844,35.1417856,35.1418292
934509.8220214844,35.1417856,35.1418498
934609.8220214844,35.1418217,35.1418686
934709.8220214844,35.1418217,35.1418893
934809.8220214844,35.1418579,35.1419081
934909.8220214844,35.1418579,35.1419287
935009.8220214844,35.1419664,35.1419481
935109.8220214844,35.1419664,35.1419685
935209.8220214844,35.1419664,35.1419889
935309.8220214844,35.1419664,35.1420093
935409.8220214844,35.1419664,35.1420297
935509.8220214844,35.1420385,35.1420485
935609.8220214844,35.1420385,35.1420689
935709.8220214844,35.1420385,35.1420893
935809.8220214844,35.1420385,35.1421097
935909.8220214844,35.1420385,35.1421301
936009.8220214844,35.1420385,35.1421505
936109.8220214844,35.142147,35.1421693
936209.8220214844,35.142147,35.1421898
936309.8220214844,35.142147,35.1422103
936409.8220214844,35.142147,35.1422308
936509.8220214844,35.1422203,35.1422493
936609.8220214844,35.1422203,35.1422699
936709.8220214844,35.1422203,35.1422905
936809.8220214844,35.1422203,35.1423111
936909.8220214844,35.1422203,35.1423317
937009.8220214844,35.1422203,35.1423523
937109.8220214844,35.1423313,35.1423711
937209.8220214844,35.1423313,35.1423919
937309.8220214844,35.1423313,35.1424127
937409.8220214844,35.1423313,35.1424335
937509.8220214844,35.1423313,35.1424543
937609.8220214844,35.1424058,35.142473
937709.8220214844,35.1424058,35.1424939
937809.8220214844,35.1424058,35.1425148
937909.8220214844,35.1424058,35.1425357
938009.8220214844,35.1424058,35.1425566
938109.8220214844,35.1425172,35.1425758
938209.8220214844,35.1425172,35.1425966
938309.8220214844,35.1425172,35.1426174
938409.8220214844,35.1425172,35.1426382
938509.8220214844,35.1425172,35.142659
938609.8220214844,35.1426275,35.1426786
938709.8220214844,35.1426275,35.142699
938809.8220214844,35.1426275,35.1427194
938909.8220214844,35.1426275,35.1427398
939009.8220214844,35.1426275,35.1427602
939109.8220214844,35.1427001,35.1427789
939209.8220214844,35.1427001,35.1427992
939309.8220214844,35.1427001,35.1428195
939409.8220214844,35.1427001,35.1428398
939509.8220214844,35.1427001,35.1428601
939609.8220214844,35.1428085,35.1428789
939709.8220214844,35.1428085,35.1428993
939809.8220214844,35.1428085,35.1429197
939909.8220214844,35.1428085,35.1429401
940009.8220214844,35.1428085,35.1429605
940109.8220214844,35.1428085,35.1429809
940209.8220214844,35.1428812,35.1429992
940309.8220214844,35.1428812,35.1430196
940409.8220214844,35.1428812,35.14304
940509.8220214844,35.1428812,35.1430604
940609.8220214844,35.1428812,35.1430808
940709.8220214844,35.1429907,35.1430989
940809.8220214844,35.1429907,35.1431194
940909.8220214844,35.1429907,35.1431399
941009.8220214844,35.1429907,35.1431604
941109.8220214844,35.1429907,35.1431809
941209.8220214844,35.1430637,35.1431986
941309.8220214844,35.1430637,35.1432192
941409.8220214844,35.1430637,35.1432398
941509.8220214844,35.1430637,35.1432604
941609.8220214844,35.1430637,35.143281
941709.8220214844,35.1431731,35.1432989
941809.8220214844,35.1431731,35.1433197
941909.8220214844,35.1431731,35.1433405
942009.8220214844,35.1431731,35.1433613
942109.8220214844,35.1431731,35.1433821
942209.8220214844,35.1432823,35.1434005
942309.8220214844,35.1432823,35.1434213
942409.8220214844,35.1432823,35.1434421
942509.8220214844,35.1432823,35.1434629
942609.8220214844,35.1432823,35.1434837
942709.8220214844,35.1433544,35.1435025
942809.8220214844,35.1433544,35.1435233
942909.8220214844,35.1433544,35.1435441
943009.8220214844,35.1433544,35.1435649
943109.8220214844,35.1433544,35.1435857
943209.8220214844,35.1433544,35.1436065
943309.8220214844,35.1434621,35.1436253
943409.8220214844,35.1434621,35.1436458
943509.8220214844,35.1434621,35.1436663
943609.8220214844,35.1434621,35.1436868
943709.8220214844,35.1435334,35.1437049
943809.8220214844,35.1435334,35.1437254
943909.8220214844,35.1435334,35.1437459
944009.8220214844,35.1435334,35.1437664
944109.8220214844,35.1435334,35.1437869
944209.8220214844,35.1435334,35.1438074
944309.8220214844,35.1436397,35.1438244
944409.8220214844,35.1436397,35.1438452
944509.8220214844,35.1436397,35.143866
944609.8220214844,35.1436397,35.1438868
944709.8220214844,35.1437105,35.143904
944809.8220214844,35.1437105,35.1439248
944909.8220214844,35.1437105,35.1439456
945009.8220214844,35.1437105,35.1439664
945109.8220214844,35.1437105,35.1439872
945209.8220214844,35.1437105,35.144008
945309.8220214844,35.1438178,35.1440235
945409.8220214844,35.1438178,35.1440445
945509.8220214844,35.1438178,35.1440655
945609.8220214844,35.1438178,35.1440865
945709.8220214844,35.1438178,35.1441075
945809.8220214844,35.1438899,35.1441242
945909.8220214844,35.1438899,35.1441453
946009.8220214844,35.1438899,35.1441664
946109.8220214844,35.1438899,35.1441875
946209.8220214844,35.1438899,35.1442086
946309.8220214844,35.1439629,35.1442256
946409.8220214844,35.1439629,35.1442469
946509.8220214844,35.1439629,35.1442682
946609.8220214844,35.1439996,35.1442861
946709.8220214844,35.1439996,35.1443074
946809.8220214844,35.1440364,35.1443255
946909.8220214844,35.1440364,35.1443469
947009.8220214844,35.1440733,35.1443651
947109.8220214844,35.1440733,35.1443865
947209.8220214844,35.1440733,35.1444079
947309.8220214844,35.1441471,35.1444252
947409.8220214844,35.1441471,35.1444466
947509.8220214844,35.144184,35.1444649
947609.8220214844,35.144184,35.1444863
947709.8220214844,35.144184,35.1445077
947809.8220214844,35.1442209,35.1445261
947909.8220214844,35.1442209,35.1445476
948009.8220214844,35.1442209,35.1445691
948109.8220214844,35.1442578,35.1445876
948209.8220214844,35.1442578,35.144609
948309.8220214844,35.1443316,35.1446268
948409.8220214844,35.1443316,35.1446482
948509.8220214844,35.1443316,35.1446696
948609.8220214844,35.1443684,35.1446881
948709.8220214844,35.1443684,35.1447095
948809.8220214844,35.1444052,35.1447281
948909.8220214844,35.1444052,35.1447494
949009.8220214844,35.1444052,35.1447707
949109.8220214844,35.1444419,35.1447894
949209.8220214844,35.1444419,35.1448106
949309.8220214844,35.1445151,35.144829
949409.8220214844,35.1445151,35.1448501
949509.8220214844,35.1445151,35.1448712
949609.8220214844,35.1445519,35.1448897
949709.8220214844,35.1445519,35.1449108
949809.8220214844,35.1445519,35.1449319
949909.8220214844,35.1445887,35.1449506
950009.8220214844,35.1445887,35.1449717
950109.8220214844,35.1446622,35.1449904
950209.8220214844,35.1446622,35.1450113
950309.8220214844,35.1446622,35.1450322
